Absolute magnitude,Albedo,Number of observations,Observation arc length,Orbital eccentricity,Orbital inclination,Orbital period,Asteroid diameter,Asteroid class
18.1,0.041,15,2.0,0.2015903215298037,11.97579993455098,3.9122981317516,1.573,MBA
12.5,0.139,349,7208.0,0.0327463121840953,8.79388300402462,11.9426681831968,12.355,TJN
14.1,0.062,705,25309.0,0.1793143045291212,27.43396015185154,5.74945188941307,8.862,OMB
16.9,0.097,91,3805.0,0.0661141423247809,13.81384511855406,4.59298155148953,2.139,MBA
11.5,0.062,1300,9606.0,0.0088239386701199,5.595907268711261,12.0060956876719,30.763,TJN
12.6,0.116,413,8028.0,0.0656539147295554,7.956872519779806,11.7154872183447,12.921,TJN
16.5,0.061,76,4428.0,0.0935795502021724,15.53565511196459,5.82916580582439,3.086,OMB
12.1,0.086,606,8397.0,0.1445555756741383,6.475173433833027,12.1116227495171,17.245,TJN
13.5,0.069,933,11571.0,0.2203753589857137,14.17368532172356,5.75177620354455,10.864,OMB
15.3,0.06,234,5766.0,0.1322194604863907,8.572174135298399,5.85732559591916,5.409,OMB
14.8,0.038,252,6933.0,0.1120243340519369,9.952617713229747,6.28173377630709,7.862,OMB
15.4,0.047,255,7062.0,0.1791228232274152,5.965052149441375,5.73529381849185,5.12,OMB
13.0,0.108,240,6816.0,0.0292908863839933,18.72768372236035,11.8729963615225,10.635,TJN
14.8,0.058,456,6176.0,0.0394592889864724,10.36284653089471,5.85406622923891,6.564,OMB
15.5,0.08,198,7229.0,0.247932415919285,30.21183395555777,4.14190051064044,4.289,MBA
12.8,0.059,296,8003.0,0.0450736326284498,7.90564522084595,11.9987140473157,15.784,TJN
14.3,0.044,479,8332.0,0.123065068966685,8.803553250839991,6.27526522683435,9.109,OMB
11.2,0.087,1199,15602.0,0.0402216354020758,13.65985197847479,11.954994296078,25.942,TJN
16.9,0.076,170,6329.0,0.1533425777409233,10.5284700645496,4.10846153414652,2.101,MBA
12.9,0.115,170,6034.0,0.0369643619869291,10.57316555571229,11.7705739600657,11.294,TJN
15.3,0.049,163,8389.0,0.1059956945970444,18.87892708792981,5.85680906008441,5.709,OMB
15.3,0.058,233,6344.0,0.0929550058425868,9.504227671932869,5.33695449967736,5.257,MBA
13.9,0.042,87,8409.0,0.0560261645581847,6.624802383769274,11.8199231053138,11.257,TJN
14.4,0.062,310,6669.0,0.1810010338944479,22.21632900362151,5.78890644664486,8.445,OMB
14.7,0.058,195,6935.0,0.0583893776001083,15.33045059645222,6.22004198890708,6.324,OMB
12.3,0.076,364,7239.0,0.0561604842986019,26.00741056485789,11.8152088372426,19.204,TJN
11.9,0.064,1049,9975.0,0.0656186346148411,2.763268955667886,11.675312244111,22.988,TJN
